Hive ID,City,State,Longitude,Latitude,Health
S017757,Phippsburg,Maine,-69.8147684,43.820638,
S017752,New York,New York,-74.0060152,40.7127281,
S011889,Tonasket,Washington,-119.4372001,48.7050075,
S017759,Los Angeles,California,-118.2427666,34.0536909,
S011891,North Bend,Washington,-121.78515420000001,47.4959464,
S017762,Los Angeles,California,-118.2427666,34.0536909,
S017763,Los Angeles,California,-118.2427666,34.0536909,
S017406,Merrimack,New Hampshire,-71.6854725,43.3260376,
S017402,Merrimack,New Hampshire,-71.6854725,43.3260376,
S017751,Chatsworth,California,-118.6023247,34.2595715,
S017404,Boxford,Massachusetts,-71.00127464,42.67774685,
S011897,Pittsburg,Pennsylvania,-79.99008609999998,40.4416941,
S011884,Duxbury,Massachusetts,-70.672259,42.0417695,
S011862,Duxbury,Massachusetts,-70.672259,42.0417695,
S011845,Washington,District-of-Columbia,-77.0365529,38.894893200000006,
S011846,Truro,Massachusetts,-70.0497457,41.993437,
S011868,Russell,New York,-75.150261,44.429612,
S011888,Providence,Rhode Island,-71.4128343,41.8239891,
S011874,Shrewsbury,Massachusetts,-71.7172866,42.283828,Troubled
S011861,New York,New York,-74.0060152,40.7127281,
S011852,Nashville,Tennessee,-86.7743531,36.1622296,
S011843,Morristown,New Jersey,-74.48094920000001,40.7970384,Good
S011842,Woodstock,Vermont,-72.518794,43.6244967,
S011840,Davidson,Maryland,-76.460786,39.0125945,
S011835,Jacksonville,Oregon,-122.965346,42.314411,
S011814,Provincetown,Massachusetts,-70.1786375,42.058436,
S011801,Chilmark,Massachusetts,-70.74475009999999,41.343168799999994,
S005761,Ira,Vermont,-73.0620512,43.534513399999994,
S005713,Wilmington,Delaware,-75.546589,39.7459468,
S011818,Denver,Colorado,-104.98486229999999,39.7392364,
S011816,Chicago,Illinois,-87.6244212,41.875561600000005,
S011807,Chicago,Illinois,-87.6244212,41.875561600000005,
S011815,Chicago,Illinois,-87.6244212,41.875561600000005,
S0011817,Denver,Colorado,-104.98486229999999,39.7392364,
S005721,Portland,Oregon,-122.6741949,45.5202471,
S005722,Los Angeles,California,-118.2427666,34.0536909,
S005730,Los Angeles,California,-118.2427666,34.0536909,
S005720,Seattle,Washington,-122.3300624,47.6038321,
S005701,San Mateo,California,-122.33305729999998,37.496904,
S005731,New York,New York,-74.0060152,40.7127281,
S005712,Jeffersonville,Vermont,-72.82974200000001,44.644231,
S005748,Los Angeles,California,-118.2427666,34.0536909,
S005760,Newport,Rhode Island,-71.3137707,41.489982700000006,Good
S005786,Duxbury,Massachusetts,-70.672259,42.0417695,
S005797,North Hampton,New Hampshire,-70.8297757,42.972589500000005,
